aproveitamento_visitante,aproveitamento_mandante,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,transmissao.label,transmissao.url,rodada
"['d', 'd', 'd', 'v', 'd']","['d', 'd', 'd', 'd', 'v']",Hailé Pinheiro (Serrinha),,,,2023-12-06 19:00:00,,0,1,302915,20,327,18,290,1701900000,26,False,saiba como foi,https://ge.globo.com/go/futebol/brasileirao-serie-a/jogo/06-12-2023/goias-america-mg.ghtml?utm_source=cartolafc,38
"['d', 'd', 'v', 'v', 'v']","['v', 'v', 'v', 'd', 'd']",Maracanã,,,,2023-12-06 21:30:00,,3,2,302911,2,284,7,266,1701909000,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/06-12-2023/fluminense-gremio.ghtml?utm_source=cartolafc,38
"['d', 'd', 'd', 'v', 'd']","['e', 'e', 'd', 'd', 'v']",São Januário,,,,2023-12-06 21:30:00,,1,2,302912,6,280,15,267,1701909000,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/06-12-2023/vasco-bragantino.ghtml?utm_source=cartolafc,38
"['v', 'v', 'd', 'v', 'd']","['d', 'e', 'v', 'd', 'v']",Morumbi,,,,2023-12-06 21:30:00,,0,1,302913,4,262,11,276,1701909000,26,True,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/06-12-2023/sao-paulo-flamengo.ghtml?utm_source=cartolafc,38
"['e', 'e', 'v', 'v', 'v']","['e', 'e', 'd', 'd', 'd']",Vila Belmiro,,,,2023-12-06 21:30:00,,2,1,302914,10,356,17,277,1701909000,26,True,saiba como foi,https://ge.globo.com/sp/santos-e-regiao/futebol/brasileirao-serie-a/jogo/06-12-2023/santos-fortaleza.ghtml?utm_source=cartolafc,38
"['v', 'e', 'v', 'v', 'e']","['e', 'v', 'e', 'e', 'e']",Mineirão,,,,2023-12-06 21:30:00,,1,1,302916,1,275,14,283,1701909000,26,True,saiba como foi,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/06-12-2023/cruzeiro-palmeiras.ghtml?utm_source=cartolafc,38
"['e', 'e', 'e', 'e', 'd']","['d', 'v', 'v', 'v', 'v']",Beira-Rio,,,,2023-12-06 21:30:00,,1,3,302917,5,263,9,285,1701909000,26,True,saiba como foi,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/06-12-2023/internacional-botafogo.ghtml?utm_source=cartolafc,38
"['v', 'd', 'v', 'd', 'v']","['v', 'd', 'e', 'd', 'd']",Couto Pereira,,,,2023-12-06 21:30:00,,2,0,302918,13,264,19,294,1701909000,26,True,saiba como foi,https://ge.globo.com/pr/futebol/brasileirao-serie-a/jogo/06-12-2023/coritiba-corinthians.ghtml?utm_source=cartolafc,38
"['v', 'v', 'v', 'v', 'd']","['e', 'v', 'd', 'd', 'v']",Itaipava Arena Fonte Nova,,,,2023-12-06 21:30:00,,1,4,302919,3,282,16,265,1701909000,26,True,saiba como foi,https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/06-12-2023/bahia-atletico-mg.ghtml?utm_source=cartolafc,38
"['e', 'e', 'e', 'v', 'd']","['v', 'e', 'd', 'd', 'v']",Arena Pantanal,,,,2023-12-06 21:30:00,,0,3,302920,8,293,12,1371,1701909000,26,True,saiba como foi,https://ge.globo.com/mt/futebol/brasileirao-serie-a/jogo/06-12-2023/cuiaba-atletico-pr.ghtml?utm_source=cartolafc,38
"['d', 'v', 'v', 'v', 'v']","['v', 'd', 'v', 'd', 'v']",Neo Química Arena,,,,2023-12-02 18:00:00,,2,1,302894,9,285,13,264,1701550800,26,True,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/02-12-2023/corinthians-internacional.ghtml?utm_source=cartolafc,37
"['d', 'e', 'v', 'd', 'v']","['v', 'v', 'v', 'v', 'd']",Mineirão,,,,2023-12-02 21:00:00,,1,2,302896,11,276,3,282,1701561600,26,True,saiba como foi,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/02-12-2023/atletico-mg-sao-paulo.ghtml?utm_source=cartolafc,37
"['v', 'e', 'd', 'd', 'v']","['v', 'v', 'd', 'v', 'd']",Maracanã,,,,2023-12-03 16:00:00,,1,2,302891,12,1371,4,262,1701630000,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/03-12-2023/flamengo-cuiaba.ghtml?utm_source=cartolafc,37
"['v', 'v', 'v', 'd', 'd']","['v', 'e', 'v', 'v', 'e']",Allianz Parque,,,,2023-12-03 16:00:00,,0,1,302893,7,266,1,275,1701630000,26,True,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/03-12-2023/palmeiras-fluminense.ghtml?utm_source=cartolafc,37
"['e', 'v', 'e', 'e', 'e']","['e', 'e', 'e', 'e', 'd']",Nilton Santos (Engenhão),,,,2023-12-03 18:30:00,,0,0,302892,14,283,5,263,1701639000,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/03-12-2023/botafogo-cruzeiro.ghtml?utm_source=cartolafc,37
"['v', 'd', 'e', 'd', 'd']","['d', 'd', 'd', 'v', 'd']",Nabi Abi Chedid,,,,2023-12-03 18:30:00,,0,1,302895,19,294,6,280,1701639000,26,True,saiba como foi,https://ge.globo.com/sp/vale-do-paraiba-regiao/futebol/brasileirao-serie-a/jogo/03-12-2023/bragantino-coritiba.ghtml?utm_source=cartolafc,37
"['e', 'e', 'd', 'd', 'v']","['d', 'd', 'v', 'v', 'v']",Arena do Grêmio,,,,2023-12-03 18:30:00,,0,1,302897,15,267,2,284,1701639000,26,True,saiba como foi,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/03-12-2023/gremio-vasco.ghtml?utm_source=cartolafc,37
"['e', 'e', 'd', 'd', 'd']","['e', 'e', 'e', 'v', 'd']",Ligga Arena,,,,2023-12-03 18:30:00,,0,3,302898,17,277,8,293,1701639000,26,True,saiba como foi,https://ge.globo.com/pr/futebol/brasileirao-serie-a/jogo/03-12-2023/atletico-pr-santos.ghtml?utm_source=cartolafc,37
"['d', 'd', 'd', 'd', 'v']","['e', 'e', 'v', 'v', 'v']",Castelão (CE),,,,2023-12-03 18:30:00,,0,1,302899,18,290,10,356,1701639000,26,True,saiba como foi,https://ge.globo.com/ce/futebol/brasileirao-serie-a/jogo/03-12-2023/fortaleza-goias.ghtml?utm_source=cartolafc,37
"['e', 'v', 'd', 'd', 'v']","['d', 'd', 'd', 'v', 'd']",Independência,,,,2023-12-03 18:30:00,,2,3,302900,16,265,20,327,1701639000,26,True,saiba como foi,https://ge.globo.com/mg/triangulo-mineiro/futebol/brasileirao-serie-a/jogo/03-12-2023/america-mg-bahia.ghtml?utm_source=cartolafc,37
"['v', 'd', 'v', 'd', 'v']","['e', 'e', 'd', 'd', 'v']",São Januário,,,,2023-11-28 21:30:00,,4,2,302882,13,264,15,267,1701217800,26,False,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/28-11-2023/vasco-corinthians.ghtml?utm_source=cartolafc,36
"['v', 'v', 'v', 'd', 'd']","['e', 'e', 'd', 'd', 'd']",Vila Belmiro,,,,2023-11-29 19:00:00,,3,0,302884,7,266,17,277,1701295200,26,True,saiba como foi,https://ge.globo.com/sp/santos-e-regiao/futebol/brasileirao-serie-a/jogo/29-11-2023/santos-fluminense.ghtml?utm_source=cartolafc,36
"['v', 'v', 'v', 'v', 'd']","['v', 'v', 'd', 'v', 'd']",Maracanã,,,,2023-11-29 19:30:00,,3,0,302881,3,282,4,262,1701297000,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/29-11-2023/flamengo-atletico-mg.ghtml?utm_source=cartolafc,36
"['d', 'e', 'v', 'd', 'v']","['e', 'v', 'd', 'd', 'v']",Itaipava Arena Fonte Nova,,,,2023-11-29 20:00:00,,1,0,302889,11,276,16,265,1701298800,26,True,saiba como foi,https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/29-11-2023/bahia-sao-paulo.ghtml?utm_source=cartolafc,36
