apelido,foto,pontuacao,posicao_id,clube_id,entrou_em_campo,A,DS,FS,FC,FD,FF,PS,CA,G,PC,SG,I,DE,V,GS,CV,FT,scout,rodada,DP,GC,PP
Maurício Antônio,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_3KcuNY0.png,0.0,3.0,294.0,True,,,,,,,,,,,,,,,,,,,38,,,
Igor Gomes,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_UzfIqe6.png,7.2,4.0,282.0,True,1.0,1.0,2.0,,,,,,,,,,,,,,,,38,,,
Pedro Augusto,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_f71IboX.png,0.2,4.0,356.0,True,,,1.0,1.0,,,,,,,,,,,,,,,38,,,
Yuri Alberto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_QVzSGOZ.png,1.6,5.0,264.0,True,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,38,,,
Luan Cândido,https://s.sde.globo.com/media/person_role/2022/05/05/a09132195a9936adeadb1a61d65dad2e_FORMATO.png,-0.3,2.0,280.0,True,,,,1.0,,,,,,,,,,,,,,,38,,,
Nonato,https://s.sde.globo.com/media/person_role/2023/08/04/photo_220x220_koUYCZt.png,1.6,4.0,277.0,True,,1.0,2.0,2.0,,,,,,,,,,,,,,,38,,,
Júnior Santos,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_20JkUu3.png,-0.9,5.0,263.0,True,,,,3.0,,,,,,,,,,,,,,,38,,,
Ferreira,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bBuY85e.png,4.1,5.0,284.0,True,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,38,,,
Ademir,https://s.sde.globo.com/media/person_role/2023/04/02/photo_FORMATO_AYMEKre.png,7.8,5.0,265.0,True,,,,,,1.0,,1.0,1.0,,,,,,,,,,38,,,
Guga,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_XX1WP8Y.png,1.6,2.0,266.0,True,,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,38,,,
Pepê,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ey2Asrl.png,8.2,4.0,284.0,True,,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,38,,,
Hugo Moura,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_xmqFuth.png,1.2,4.0,293.0,True,,1.0,,,,,,,,,,,,,,,,,38,,,
Diego Costa,https://s.sde.globo.com/media/person_role/2022/03/01/996cbc8d639a3e640cf55d5326393d6d_FORMATO.png,5.0,3.0,276.0,True,,,,,,,,,,,1.0,,,,,,,,38,,,
Vitinho,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Hob15WK.png,2.1,5.0,280.0,True,,1.0,2.0,3.0,,1.0,,,,,,,,,,,,,38,,,
Matheus Felipe,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_e7P4JVL.png,-0.3,3.0,293.0,True,,,,1.0,,,,,,,,,,,,,,,38,,,
Caio Paulista,https://s.sde.globo.com/media/person_role/2023/01/27/photo_FORMATO_rRBJfVv.png,7.4,2.0,276.0,True,,1.0,,,1.0,,,,,,1.0,,,,,,,,38,,,
Helinho,https://s.sde.globo.com/media/person_role/2022/05/05/d0de5e463c8123423e2713cdde571faf_FORMATO.png,2.5,5.0,280.0,True,,,1.0,,1.0,1.0,,,,,,,,,,,,,38,,,
Canobbio,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_VXCkQFM.png,2.8,5.0,293.0,True,,2.0,,1.0,,1.0,,,,,,1.0,,,,,,,38,,,
Eric Ramires,https://s.sde.globo.com/media/person_role/2022/05/05/68b240d886c54c37133d42e6dd5f8e41_FORMATO.png,0.0,4.0,280.0,True,,,,,,,,,,,,,,,,,,,38,,,
Matheus Alexandre,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_4eKoeL1.png,8.6,2.0,1371.0,True,,3.0,,,,,,,,,1.0,,,,,,,,38,,,
Caetano,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_72Ycs9o.png,7.3,3.0,264.0,True,,2.0,1.0,2.0,,,,,,,1.0,,,,,,,,38,,,
Kaíque Rocha,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_TAU79Yo.png,-0.8,3.0,293.0,True,,,1.0,1.0,,,,,,1.0,,,,,,,,,38,,,
Bruno Méndez,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_VwEvkmY.png,5.0,3.0,264.0,True,,,,,,,,,,,1.0,,,,,,,,38,,,
Carlos Miguel,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ucZUimL.png,9.5,1.0,264.0,True,,,1.0,,,,,,,,1.0,,4.0,,,,,,38,,,
Ruan,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_Uq9B5Kn.png,0.0,4.0,264.0,True,,,,,,,,,,,,,,,,,,,38,,,
Igor Gomes,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_I7Q1WEp.png,2.4,3.0,285.0,True,,2.0,,,,,,,,,,,,,,,,,38,,,
Christian,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_V2OPAxf.png,2.4,4.0,293.0,True,,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,38,,,
Matheus Bianqui,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_nFBy3HF.png,4.4,4.0,294.0,True,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,38,,,
Juan Vojvoda,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_UIx1Yzg.png,5.47,6.0,356.0,True,,,,,,,,,,,,,,1.0,,,,,38,,,
Acevedo,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_YfjCr6b.png,0.5,4.0,265.0,True,,,1.0,,,,,,,,,,,,,,,,38,,,
Sebastián Gómez,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_fnuIkZJ.png,2.3,4.0,294.0,True,,2.0,1.0,2.0,,,,,,,,,,,,,,,38,,,
João Marcelo,https://s.sde.globo.com/media/person_role/2023/08/01/photo_220x220_vuySYbE.png,0.0,3.0,283.0,True,,,,,,,,,,,,,,,,,,,38,,,
Luis Henrique,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XMfC6C1.png,2.7,5.0,263.0,True,,2.0,1.0,,,,,,,,,2.0,,,,,,,38,,,
Bento,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ROEp8B.png,0.0,1.0,293.0,True,,,,,,,,,,,,,3.0,,3.0,,,,38,,,
Matheus Bidu,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_cNTyg24.png,7.2,2.0,264.0,True,,1.0,2.0,,,,,,,,1.0,,,,,,,,38,,,
