rodada,adv,equipe_contraAvgpontuacao,equipe_contraLastpontuacao,equipe_contraAvgMov5pontuacao,equipe_contraAvgMov10pontuacao,equipe_contraAvgDS,equipe_contraLastDS,equipe_contraAvgMov5DS,equipe_contraAvgMov10DS,equipe_contraAvgFC,equipe_contraLastFC,equipe_contraAvgMov5FC,equipe_contraAvgMov10FC,equipe_contraAvgFF,equipe_contraLastFF,equipe_contraAvgMov5FF,equipe_contraAvgMov10FF,equipe_contraAvgFS,equipe_contraLastFS,equipe_contraAvgMov5FS,equipe_contraAvgMov10FS,equipe_contraAvgCA,equipe_contraLastCA,equipe_contraAvgMov5CA,equipe_contraAvgMov10CA,equipe_contraAvgFD,equipe_contraLastFD,equipe_contraAvgMov5FD,equipe_contraAvgMov10FD,equipe_contraAvgFT,equipe_contraLastFT,equipe_contraAvgMov5FT,equipe_contraAvgMov10FT,equipe_contraAvgG,equipe_contraLastG,equipe_contraAvgMov5G,equipe_contraAvgMov10G,equipe_contraAvgDE,equipe_contraLastDE,equipe_contraAvgMov5DE,equipe_contraAvgMov10DE,equipe_contraAvgGS,equipe_contraLastGS,equipe_contraAvgMov5GS,equipe_contraAvgMov10GS,equipe_contraAvgGC,equipe_contraLastGC,equipe_contraAvgMov5GC,equipe_contraAvgMov10GC,equipe_contraAvgI,equipe_contraLastI,equipe_contraAvgMov5I,equipe_contraAvgMov10I,equipe_contraAvgSG,equipe_contraLastSG,equipe_contraAvgMov5SG,equipe_contraAvgMov10SG,equipe_contraAvgA,equipe_contraLastA,equipe_contraAvgMov5A,equipe_contraAvgMov10A,equipe_contraAvgV,equipe_contraLastV,equipe_contraAvgMov5V,equipe_contraAvgMov10V,equipe_contraAvgPS,equipe_contraLastPS,equipe_contraAvgMov5PS,equipe_contraAvgMov10PS,equipe_contraAvgPC,equipe_contraLastPC,equipe_contraAvgMov5PC,equipe_contraAvgMov10PC,equipe_contraAvgCV,equipe_contraLastCV,equipe_contraAvgMov5CV,equipe_contraAvgMov10CV,equipe_contraAvgDP,equipe_contraLastDP,equipe_contraAvgMov5DP,equipe_contraAvgMov10DP,equipe_contraAvgPP,equipe_contraLastPP,equipe_contraAvgMov5PP,equipe_contraAvgMov10PP
1,América-MG,113.69,113.69,113.69,113.69,12.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0,23.0,23.0,23.0,23.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2,América-MG,113.69,113.69,113.69,113.69,12.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0,23.0,23.0,23.0,23.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3,América-MG,108.02,102.35,108.02,108.02,12.5,13.0,12.5,12.5,13.5,18.0,13.5,13.5,5.5,9.0,5.5,5.5,17.5,12.0,17.5,17.5,3.5,5.0,3.5,3.5,3.5,3.0,3.5,3.5,0.5,0.0,0.5,0.5,3.0,3.0,3.0,3.0,4.5,7.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,6.5,6.0,6.5,6.5,2.5,2.0,2.5,2.5,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5
4,América-MG,94.49,67.44,94.49,94.49,14.33,18.0,14.33,14.33,15.33,19.0,15.33,15.33,4.67,3.0,4.67,4.67,16.33,14.0,16.33,16.33,3.33,3.0,3.33,3.33,3.33,3.0,3.33,3.33,0.33,0.0,0.33,0.33,3.0,3.0,3.0,3.0,4.67,5.0,4.67,4.67,0.67,2.0,0.67,0.67,0.0,0.0,0.0,0.0,1.33,0.0,1.33,1.33,4.33,0.0,4.33,4.33,2.33,2.0,2.33,2.33,1.0,1.0,1.0,1.0,0.67,1.0,0.67,0.67,0.0,0.0,0.0,0.0,0.33,1.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33
5,América-MG,82.46,46.38,82.46,82.46,15.75,20.0,15.75,15.75,14.5,12.0,14.5,14.5,4.0,2.0,4.0,4.0,16.75,18.0,16.75,16.75,3.5,4.0,3.5,3.5,3.5,4.0,3.5,3.5,0.25,0.0,0.25,0.25,2.5,1.0,2.5,2.5,4.25,3.0,4.25,4.25,0.75,1.0,0.75,0.75,0.0,0.0,0.0,0.0,1.5,2.0,1.5,1.5,3.25,0.0,3.25,3.25,1.75,0.0,1.75,1.75,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25
6,América-MG,75.64,48.33,75.64,75.64,14.6,10.0,14.6,14.6,14.4,14.0,14.4,14.4,4.0,4.0,4.0,4.0,16.6,16.0,16.6,16.6,3.8,5.0,3.8,3.8,4.4,8.0,4.4,4.4,0.4,1.0,0.4,0.4,2.4,2.0,2.4,2.4,3.6,1.0,3.6,3.6,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,3.0,1.8,1.8,2.6,0.0,2.6,2.6,1.6,1.0,1.6,1.6,0.8,0.0,0.8,0.8,0.4,0.0,0.4,0.4,0.4,2.0,0.4,0.4,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2
7,América-MG,84.29,127.55,78.41,84.29,15.17,18.0,15.8,15.17,14.83,17.0,16.0,14.83,4.33,6.0,4.8,4.33,15.5,10.0,14.0,15.5,3.17,0.0,3.4,3.17,4.5,5.0,4.6,4.5,0.33,0.0,0.2,0.33,2.67,4.0,2.6,2.67,3.33,2.0,3.6,3.33,0.83,0.0,1.0,0.83,0.0,0.0,0.0,0.0,2.0,3.0,1.8,2.0,3.17,6.0,2.4,3.17,2.0,4.0,1.8,2.0,0.83,1.0,0.8,0.83,0.33,0.0,0.2,0.33,0.33,0.0,0.4,0.33,0.17,0.0,0.2,0.17,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.17
8,América-MG,77.44,36.33,65.21,77.44,14.86,13.0,15.8,14.86,13.86,8.0,14.0,13.86,4.29,4.0,3.8,4.29,15.29,14.0,14.4,15.29,3.0,2.0,2.8,3.0,4.57,5.0,5.0,4.57,0.29,0.0,0.2,0.29,2.43,1.0,2.2,2.43,2.86,0.0,2.2,2.86,1.0,2.0,1.4,1.0,0.0,0.0,0.0,0.0,1.86,1.0,1.8,1.86,2.71,0.0,1.2,2.71,1.71,0.0,1.4,1.71,0.71,0.0,0.6,0.71,0.29,0.0,0.2,0.29,0.29,0.0,0.4,0.29,0.14,0.0,0.2,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14
9,América-MG,78.6,86.75,69.07,78.6,14.0,8.0,13.8,14.0,13.25,9.0,12.0,13.25,4.5,6.0,4.4,4.5,14.75,11.0,13.8,14.75,2.88,2.0,2.6,2.88,4.38,3.0,5.0,4.38,0.38,1.0,0.4,0.38,2.38,2.0,2.0,2.38,2.62,1.0,1.4,2.62,0.88,0.0,1.0,0.88,0.0,0.0,0.0,0.0,1.88,2.0,2.2,1.88,3.12,6.0,2.4,3.12,1.75,2.0,1.4,1.75,0.75,1.0,0.6,0.75,0.25,0.0,0.0,0.25,0.25,0.0,0.4,0.25,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12
10,América-MG,72.71,25.53,64.9,72.71,13.89,13.0,12.4,13.89,13.22,13.0,12.2,13.22,4.11,1.0,4.2,4.11,14.78,15.0,13.2,14.78,2.56,0.0,1.8,2.56,4.11,2.0,4.6,4.11,0.44,1.0,0.6,0.44,2.11,0.0,1.8,2.11,2.78,4.0,1.6,2.78,1.0,2.0,1.2,1.0,0.0,0.0,0.0,0.0,1.67,0.0,1.8,1.67,2.78,0.0,2.4,2.78,1.56,0.0,1.4,1.56,0.67,0.0,0.4,0.67,0.33,1.0,0.2,0.33,0.33,1.0,0.6,0.33,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.22,1.0,0.2,0.22
