rodada,equipe,equipe_proAvgpontuacao,equipe_proLastpontuacao,equipe_proAvgMov5pontuacao,equipe_proAvgMov10pontuacao,equipe_proAvgDS,equipe_proLastDS,equipe_proAvgMov5DS,equipe_proAvgMov10DS,equipe_proAvgFC,equipe_proLastFC,equipe_proAvgMov5FC,equipe_proAvgMov10FC,equipe_proAvgFF,equipe_proLastFF,equipe_proAvgMov5FF,equipe_proAvgMov10FF,equipe_proAvgFS,equipe_proLastFS,equipe_proAvgMov5FS,equipe_proAvgMov10FS,equipe_proAvgCA,equipe_proLastCA,equipe_proAvgMov5CA,equipe_proAvgMov10CA,equipe_proAvgFD,equipe_proLastFD,equipe_proAvgMov5FD,equipe_proAvgMov10FD,equipe_proAvgFT,equipe_proLastFT,equipe_proAvgMov5FT,equipe_proAvgMov10FT,equipe_proAvgG,equipe_proLastG,equipe_proAvgMov5G,equipe_proAvgMov10G,equipe_proAvgDE,equipe_proLastDE,equipe_proAvgMov5DE,equipe_proAvgMov10DE,equipe_proAvgGS,equipe_proLastGS,equipe_proAvgMov5GS,equipe_proAvgMov10GS,equipe_proAvgGC,equipe_proLastGC,equipe_proAvgMov5GC,equipe_proAvgMov10GC,equipe_proAvgI,equipe_proLastI,equipe_proAvgMov5I,equipe_proAvgMov10I,equipe_proAvgSG,equipe_proLastSG,equipe_proAvgMov5SG,equipe_proAvgMov10SG,equipe_proAvgA,equipe_proLastA,equipe_proAvgMov5A,equipe_proAvgMov10A,equipe_proAvgV,equipe_proLastV,equipe_proAvgMov5V,equipe_proAvgMov10V,equipe_proAvgPS,equipe_proLastPS,equipe_proAvgMov5PS,equipe_proAvgMov10PS,equipe_proAvgPC,equipe_proLastPC,equipe_proAvgMov5PC,equipe_proAvgMov10PC,equipe_proAvgCV,equipe_proLastCV,equipe_proAvgMov5CV,equipe_proAvgMov10CV,equipe_proAvgDP,equipe_proLastDP,equipe_proAvgMov5DP,equipe_proAvgMov10DP,equipe_proAvgPP,equipe_proLastPP,equipe_proAvgMov5PP,equipe_proAvgMov10PP
1,América-MG,32.4,32.4,32.4,32.4,11.0,11.0,11.0,11.0,21.0,21.0,21.0,21.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,América-MG,32.4,32.4,32.4,32.4,11.0,11.0,11.0,11.0,21.0,21.0,21.0,21.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,América-MG,31.42,30.44,31.42,31.42,10.5,10.0,10.5,10.5,16.5,12.0,16.5,16.5,8.5,7.0,8.5,8.5,10.5,14.0,10.5,10.5,2.5,3.0,2.5,2.5,4.0,6.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,3.0,3.5,3.5,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0
4,América-MG,41.67,62.18,41.67,41.67,11.67,14.0,11.67,11.67,16.0,15.0,16.0,16.0,7.67,6.0,7.67,7.67,13.0,18.0,13.0,13.0,3.0,4.0,3.0,3.0,4.33,5.0,4.33,4.33,1.0,1.0,1.0,1.0,0.67,2.0,0.67,0.67,3.33,3.0,3.33,3.33,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.67,1.0,1.67,1.67,0.0,0.0,0.0,0.0,0.67,2.0,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.0,0.0,0.0,0.0
5,América-MG,39.68,33.71,39.68,39.68,11.25,10.0,11.25,11.25,16.5,18.0,16.5,16.5,6.75,4.0,6.75,6.75,12.75,12.0,12.75,12.75,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,1.25,2.0,1.25,1.25,0.75,1.0,0.75,0.75,3.5,4.0,3.5,3.5,2.75,2.0,2.75,2.75,0.25,1.0,0.25,0.25,2.5,5.0,2.5,2.5,0.0,0.0,0.0,0.0,0.75,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0
6,América-MG,41.67,49.64,41.67,41.67,12.2,16.0,12.2,12.2,16.6,17.0,16.6,16.6,6.0,3.0,6.0,6.0,13.0,14.0,13.0,13.0,3.0,3.0,3.0,3.0,3.4,1.0,3.4,3.4,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,4.6,9.0,4.6,4.6,2.6,2.0,2.6,2.6,0.2,0.0,0.2,0.2,2.4,2.0,2.4,2.4,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0
7,América-MG,39.58,29.13,41.02,39.58,11.33,7.0,11.4,11.33,15.5,10.0,14.4,15.5,6.33,8.0,5.6,6.33,13.5,16.0,14.8,13.5,2.83,2.0,3.0,2.83,3.17,2.0,3.4,3.17,1.17,2.0,1.2,1.17,0.83,0.0,1.0,0.83,4.67,5.0,4.8,4.67,2.83,4.0,2.8,2.83,0.17,0.0,0.2,0.17,2.83,5.0,3.2,2.83,0.0,0.0,0.0,0.0,0.5,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.17,0.0,0.2,0.17,0.0,0.0,0.0,0.0,0.17,0.0,0.2,0.17,0.17,0.0,0.0,0.17,0.0,0.0,0.0,0.0
8,América-MG,41.36,52.05,45.34,41.36,11.71,14.0,12.2,11.71,15.29,14.0,14.8,15.29,6.0,4.0,5.0,6.0,12.43,6.0,13.2,12.43,3.0,4.0,3.2,3.0,2.71,0.0,2.2,2.71,1.14,1.0,1.2,1.14,1.0,2.0,1.4,1.0,4.57,4.0,5.0,4.57,2.57,1.0,2.4,2.57,0.14,0.0,0.2,0.14,2.43,0.0,2.6,2.43,0.0,0.0,0.0,0.0,0.71,2.0,1.0,0.71,0.14,1.0,0.2,0.14,0.14,0.0,0.2,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.2,0.14,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0
9,América-MG,37.74,12.33,35.37,37.74,11.25,8.0,11.0,11.25,14.75,11.0,14.0,14.75,5.5,2.0,4.2,5.5,12.0,9.0,11.4,12.0,3.0,3.0,3.0,3.0,2.5,1.0,1.4,2.5,1.0,0.0,1.0,1.0,0.88,0.0,1.0,0.88,4.38,3.0,5.0,4.38,2.5,2.0,2.2,2.5,0.12,0.0,0.2,0.12,2.5,3.0,3.0,2.5,0.0,0.0,0.0,0.0,0.62,0.0,0.6,0.62,0.12,0.0,0.2,0.12,0.12,0.0,0.2,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.2,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0
10,América-MG,42.37,79.44,44.52,42.37,11.56,14.0,11.8,11.56,14.78,15.0,13.4,14.78,5.22,3.0,4.0,5.22,12.11,13.0,11.6,12.11,2.78,1.0,2.6,2.78,2.67,4.0,1.6,2.67,0.89,0.0,0.6,0.89,1.0,2.0,1.2,1.0,4.11,2.0,4.6,4.11,2.22,0.0,1.8,2.22,0.11,0.0,0.0,0.11,2.33,1.0,2.2,2.33,0.56,5.0,1.0,0.56,0.67,1.0,0.6,0.67,0.22,1.0,0.4,0.22,0.11,0.0,0.2,0.11,0.11,1.0,0.2,0.11,0.11,0.0,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0
