rodada,id_jogador,nome_jogador,pontuacao,posicao,entrou_em_campo,equipe,adv,perc_jogos
1,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,6.25,Técnico,True,Palmeiras,Cuiabá,1.0
2,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,5.21,Técnico,True,Palmeiras,Vasco,1.0
3,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,5.66,Técnico,True,Palmeiras,Corinthians,1.0
4,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,9.68,Técnico,True,Palmeiras,Goiás,1.0
5,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,8.58,Técnico,True,Palmeiras,Grêmio,1.0
6,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,5.15,Técnico,True,Palmeiras,Bragantino,1.0
7,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,5.64,Técnico,True,Palmeiras,Santos,1.0
8,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,4.01,Técnico,True,Palmeiras,Atlético-MG,1.0
9,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,6.69,Técnico,True,Palmeiras,Coritiba,1.0
10,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,8.379999999999999,Técnico,True,Palmeiras,São Paulo,1.0
11,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,3.55,Técnico,True,Palmeiras,Bahia,1.0
12,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,2.6,Técnico,True,Palmeiras,Botafogo,1.0
13,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,4.63,Técnico,True,Palmeiras,Athlético-PR,1.0
14,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,3.18,Técnico,True,Palmeiras,Flamengo,1.0
15,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,6.0,Técnico,True,Palmeiras,Internacional,1.0
16,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,7.02,Técnico,True,Palmeiras,Fortaleza,1.0
17,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,9.37,Técnico,True,Palmeiras,América-MG,1.0
18,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,4.55,Técnico,True,Palmeiras,Fluminense,1.0
19,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,7.78,Técnico,True,Palmeiras,Cruzeiro,1.0
20,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,7.95,Técnico,True,Palmeiras,Cuiabá,1.0
21,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,7.45,Técnico,True,Palmeiras,Vasco,1.0
22,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,6.05,Técnico,True,Palmeiras,Corinthians,1.0
23,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,7.35,Técnico,True,Palmeiras,Goiás,1.0
24,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,2.71,Técnico,True,Palmeiras,Grêmio,1.0
25,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,4.29,Técnico,True,Palmeiras,Bragantino,1.0
26,Abel Ferreira - Técnico (Palmeiras)https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Abel Ferreira,4.57,Técnico,True,Palmeiras,Santos,1.0
