rodada,equipe,partidas_contraAvgpontos_time,partidas_contraLastpontos_time,partidas_contraAvgMov5pontos_time,partidas_contraAvgMov10pontos_time,partidas_contraAvggols_marcados,partidas_contraLastgols_marcados,partidas_contraAvgMov5gols_marcados,partidas_contraAvgMov10gols_marcados,partidas_contraAvggols_sofridos,partidas_contraLastgols_sofridos,partidas_contraAvgMov5gols_sofridos,partidas_contraAvgMov10gols_sofridos,partidas_contraAvgsaldo_gols,partidas_contraLastsaldo_gols,partidas_contraAvgMov5saldo_gols,partidas_contraAvgMov10saldo_gols,partidas_contraAvgclassificacao,partidas_contraLastclassificacao,partidas_contraAvgMov5classificacao,partidas_contraAvgMov10classificacao,partidas_contraAvgSG_Atq,partidas_contraLastSG_Atq,partidas_contraAvgMov5SG_Atq,partidas_contraAvgMov10SG_Atq,partidas_contraAvgSG_def,partidas_contraLastSG_def,partidas_contraAvgMov5SG_def,partidas_contraAvgMov10SG_def,partidas_contraAvgclassificacao_adv,partidas_contraLastclassificacao_adv,partidas_contraAvgMov5classificacao_adv,partidas_contraAvgMov10classificacao_adv
1,Fluminense,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0
2,São Paulo,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0
3,Santos,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,8.5,9.0,8.5,8.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0
4,Cuiabá,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,0.67,2.0,0.67,0.67,2.33,1.0,2.33,2.33,10.0,13.0,10.0,10.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.67,20.0,20.0,20.0,20.0
5,Bragantino,1.0,1.0,1.0,1.0,2.75,2.0,2.75,2.75,0.75,1.0,0.75,0.75,2.0,1.0,2.0,2.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,20.0,20.0,20.0,20.0
6,Cruzeiro,0.9,0.5,0.9,0.9,2.6,2.0,2.6,2.6,1.0,2.0,1.0,1.0,1.6,0.0,1.6,1.6,8.8,4.0,8.8,8.8,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,20.0,20.0,20.0,20.0
7,Fortaleza,0.92,1.0,0.9,0.92,2.83,4.0,2.8,2.83,0.83,0.0,1.0,0.83,2.0,4.0,1.8,2.0,10.17,17.0,10.6,10.17,0.0,0.0,0.0,0.0,0.5,1.0,0.4,0.5,20.0,20.0,20.0,20.0
8,Botafogo,0.79,0.0,0.7,0.79,2.57,1.0,2.4,2.57,1.0,2.0,1.4,1.0,1.57,-1.0,1.0,1.57,10.29,11.0,11.0,10.29,0.0,0.0,0.0,0.0,0.43,0.0,0.2,0.43,20.0,20.0,20.0,20.0
9,Corinthians,0.81,1.0,0.7,0.81,2.5,2.0,2.2,2.5,0.88,0.0,1.0,0.88,1.62,2.0,1.2,1.62,9.12,1.0,8.6,9.12,0.0,0.0,0.0,0.0,0.5,1.0,0.4,0.5,20.0,20.0,20.0,20.0
10,Athlético-PR,0.72,0.0,0.5,0.72,2.22,0.0,1.8,2.22,1.0,2.0,1.2,1.0,1.22,-2.0,0.6,1.22,9.67,14.0,9.4,9.67,0.11,1.0,0.2,0.11,0.44,0.0,0.4,0.44,20.0,20.0,20.0,20.0
