rodada,posicao,adv,setor_contraAvgpontuacao,setor_contraLastpontuacao,setor_contraAvgMov5pontuacao,setor_contraAvgMov10pontuacao,setor_contraAvgDS,setor_contraLastDS,setor_contraAvgMov5DS,setor_contraAvgMov10DS,setor_contraAvgFC,setor_contraLastFC,setor_contraAvgMov5FC,setor_contraAvgMov10FC,setor_contraAvgFF,setor_contraLastFF,setor_contraAvgMov5FF,setor_contraAvgMov10FF,setor_contraAvgFS,setor_contraLastFS,setor_contraAvgMov5FS,setor_contraAvgMov10FS,setor_contraAvgCA,setor_contraLastCA,setor_contraAvgMov5CA,setor_contraAvgMov10CA,setor_contraAvgFD,setor_contraLastFD,setor_contraAvgMov5FD,setor_contraAvgMov10FD,setor_contraAvgFT,setor_contraLastFT,setor_contraAvgMov5FT,setor_contraAvgMov10FT,setor_contraAvgG,setor_contraLastG,setor_contraAvgMov5G,setor_contraAvgMov10G,setor_contraAvgDE,setor_contraLastDE,setor_contraAvgMov5DE,setor_contraAvgMov10DE,setor_contraAvgGS,setor_contraLastGS,setor_contraAvgMov5GS,setor_contraAvgMov10GS,setor_contraAvgGC,setor_contraLastGC,setor_contraAvgMov5GC,setor_contraAvgMov10GC,setor_contraAvgI,setor_contraLastI,setor_contraAvgMov5I,setor_contraAvgMov10I,setor_contraAvgSG,setor_contraLastSG,setor_contraAvgMov5SG,setor_contraAvgMov10SG,setor_contraAvgA,setor_contraLastA,setor_contraAvgMov5A,setor_contraAvgMov10A,setor_contraAvgV,setor_contraLastV,setor_contraAvgMov5V,setor_contraAvgMov10V,setor_contraAvgPS,setor_contraLastPS,setor_contraAvgMov5PS,setor_contraAvgMov10PS,setor_contraAvgPC,setor_contraLastPC,setor_contraAvgMov5PC,setor_contraAvgMov10PC,setor_contraAvgCV,setor_contraLastCV,setor_contraAvgMov5CV,setor_contraAvgMov10CV,setor_contraAvgDP,setor_contraLastDP,setor_contraAvgMov5DP,setor_contraAvgMov10DP,setor_contraAvgPP,setor_contraLastPP,setor_contraAvgMov5PP,setor_contraAvgMov10PP
1,Atacante,América-MG,35.6,35.6,35.6,35.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2,Atacante,América-MG,35.6,35.6,35.6,35.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3,Atacante,América-MG,31.5,27.4,31.5,31.5,2.0,1.0,2.0,2.0,5.5,8.0,5.5,5.5,2.0,3.0,2.0,2.0,5.0,6.0,5.0,5.0,1.5,2.0,1.5,1.5,1.5,1.0,1.5,1.5,0.5,0.0,0.5,0.5,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5
4,Atacante,América-MG,34.37,40.1,34.37,34.37,3.0,5.0,3.0,3.0,4.67,3.0,4.67,4.67,1.67,1.0,1.67,1.67,7.33,12.0,7.33,7.33,1.0,0.0,1.0,1.0,1.33,1.0,1.33,1.33,0.33,0.0,0.33,0.33,2.67,2.0,2.67,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.67,1.0,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33
5,Atacante,América-MG,27.92,8.6,27.92,27.92,3.25,4.0,3.25,3.25,4.25,3.0,4.25,4.25,1.25,0.0,1.25,1.25,6.75,5.0,6.75,6.75,0.75,0.0,0.75,0.75,1.5,2.0,1.5,1.5,0.25,0.0,0.25,0.25,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2.0,1.25,1.25,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25
6,Atacante,América-MG,27.6,26.3,27.6,27.6,3.0,2.0,3.0,3.0,4.2,4.0,4.2,4.2,1.4,2.0,1.4,1.4,7.8,12.0,7.8,7.8,1.2,3.0,1.2,1.2,2.0,4.0,2.0,2.0,0.2,0.0,0.2,0.2,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3.0,1.6,1.6,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2
7,Atacante,América-MG,29.83,41.0,28.68,29.83,3.17,4.0,3.2,3.17,5.0,9.0,5.4,5.0,2.0,5.0,2.2,2.0,7.33,5.0,8.0,7.33,1.0,0.0,1.0,1.0,2.17,3.0,2.2,2.17,0.17,0.0,0.0,0.17,2.17,3.0,2.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,2.0,1.4,1.67,0.0,0.0,0.0,0.0,0.67,1.0,0.6,0.67,0.0,0.0,0.0,0.0,0.33,0.0,0.2,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.17
8,Atacante,América-MG,26.67,7.7,24.74,26.67,2.86,1.0,3.2,2.86,4.43,1.0,4.0,4.43,2.0,2.0,2.0,2.0,6.71,3.0,7.4,6.71,1.0,1.0,0.8,1.0,2.43,4.0,2.8,2.43,0.14,0.0,0.0,0.14,1.86,0.0,1.4,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,1.0,1.6,1.57,0.0,0.0,0.0,0.0,0.57,0.0,0.6,0.57,0.0,0.0,0.0,0.0,0.29,0.0,0.2,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14
9,Atacante,América-MG,26.3,23.7,21.46,26.3,2.75,2.0,2.6,2.75,4.12,2.0,3.8,4.12,2.0,2.0,2.2,2.0,6.38,4.0,5.8,6.38,0.88,0.0,0.8,0.88,2.38,2.0,3.0,2.38,0.12,0.0,0.0,0.12,1.88,2.0,1.4,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.8,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12
10,Atacante,América-MG,24.59,10.9,21.92,24.59,2.78,3.0,2.4,2.78,4.0,3.0,3.8,4.0,1.78,0.0,2.2,1.78,6.33,6.0,6.0,6.33,0.78,0.0,0.8,0.78,2.22,1.0,2.8,2.22,0.22,1.0,0.2,0.22,1.67,0.0,1.4,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,1.4,1.33,0.0,0.0,0.0,0.0,0.44,0.0,0.2,0.44,0.0,0.0,0.0,0.0,0.33,1.0,0.2,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.11
