rodada,posicao,equipe,setor_proAvgpontuacao,setor_proLastpontuacao,setor_proAvgMov5pontuacao,setor_proAvgMov10pontuacao,setor_proAvgDS,setor_proLastDS,setor_proAvgMov5DS,setor_proAvgMov10DS,setor_proAvgFC,setor_proLastFC,setor_proAvgMov5FC,setor_proAvgMov10FC,setor_proAvgFF,setor_proLastFF,setor_proAvgMov5FF,setor_proAvgMov10FF,setor_proAvgFS,setor_proLastFS,setor_proAvgMov5FS,setor_proAvgMov10FS,setor_proAvgCA,setor_proLastCA,setor_proAvgMov5CA,setor_proAvgMov10CA,setor_proAvgFD,setor_proLastFD,setor_proAvgMov5FD,setor_proAvgMov10FD,setor_proAvgFT,setor_proLastFT,setor_proAvgMov5FT,setor_proAvgMov10FT,setor_proAvgG,setor_proLastG,setor_proAvgMov5G,setor_proAvgMov10G,setor_proAvgDE,setor_proLastDE,setor_proAvgMov5DE,setor_proAvgMov10DE,setor_proAvgGS,setor_proLastGS,setor_proAvgMov5GS,setor_proAvgMov10GS,setor_proAvgGC,setor_proLastGC,setor_proAvgMov5GC,setor_proAvgMov10GC,setor_proAvgI,setor_proLastI,setor_proAvgMov5I,setor_proAvgMov10I,setor_proAvgSG,setor_proLastSG,setor_proAvgMov5SG,setor_proAvgMov10SG,setor_proAvgA,setor_proLastA,setor_proAvgMov5A,setor_proAvgMov10A,setor_proAvgV,setor_proLastV,setor_proAvgMov5V,setor_proAvgMov10V,setor_proAvgPS,setor_proLastPS,setor_proAvgMov5PS,setor_proAvgMov10PS,setor_proAvgPC,setor_proLastPC,setor_proAvgMov5PC,setor_proAvgMov10PC,setor_proAvgCV,setor_proLastCV,setor_proAvgMov5CV,setor_proAvgMov10CV,setor_proAvgDP,setor_proLastDP,setor_proAvgMov5DP,setor_proAvgMov10DP,setor_proAvgPP,setor_proLastPP,setor_proAvgMov5PP,setor_proAvgMov10PP
1,Atacante,América-MG,11.5,11.5,11.5,11.5,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Atacante,América-MG,11.5,11.5,11.5,11.5,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Atacante,América-MG,11.85,12.2,11.85,11.85,3.0,3.0,3.0,3.0,4.5,2.0,4.5,4.5,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,0.5,1.0,0.5,0.5,2.5,4.0,2.5,2.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Atacante,América-MG,15.2,21.9,15.2,15.2,3.33,4.0,3.33,3.33,3.33,1.0,3.33,3.33,3.0,1.0,3.0,3.0,3.67,7.0,3.67,3.67,0.67,1.0,0.67,0.67,2.0,1.0,2.0,2.0,0.67,0.0,0.67,0.67,0.33,1.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,1.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Atacante,América-MG,17.3,23.6,17.3,17.3,3.0,2.0,3.0,3.0,2.75,1.0,2.75,2.75,3.0,3.0,3.0,3.0,3.75,4.0,3.75,3.75,0.75,1.0,0.75,0.75,2.0,2.0,2.0,2.0,0.75,1.0,0.75,0.75,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Atacante,América-MG,17.56,18.6,17.56,17.56,2.6,1.0,2.6,2.6,3.2,5.0,3.2,3.2,2.8,2.0,2.8,2.8,4.0,5.0,4.0,4.0,0.8,1.0,0.8,0.8,1.6,0.0,1.6,1.6,0.6,0.0,0.6,0.6,0.8,2.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0,1.6,1.6,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Atacante,América-MG,16.27,9.8,17.22,16.27,2.5,2.0,2.4,2.5,3.67,6.0,3.0,3.67,3.33,6.0,2.8,3.33,3.83,3.0,4.2,3.83,0.83,1.0,1.0,0.83,1.5,1.0,1.6,1.5,0.67,1.0,0.6,0.67,0.67,0.0,0.8,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,3.0,2.2,1.83,0.0,0.0,0.0,0.0,0.33,0.0,0.4,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Atacante,América-MG,16.81,20.1,18.8,16.81,2.43,2.0,2.2,2.43,3.86,5.0,3.6,3.86,3.43,4.0,3.2,3.43,3.57,2.0,4.2,3.57,0.86,1.0,1.0,0.86,1.29,0.0,0.8,1.29,0.71,1.0,0.6,0.71,0.71,1.0,1.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,1.8,1.57,0.0,0.0,0.0,0.0,0.43,1.0,0.6,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Atacante,América-MG,14.79,0.6,14.54,14.79,2.12,0.0,1.4,2.12,3.75,3.0,4.0,3.75,3.0,0.0,3.0,3.0,3.5,3.0,3.4,3.5,0.88,1.0,1.0,0.88,1.25,1.0,0.8,1.25,0.62,0.0,0.6,0.62,0.62,0.0,0.8,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,2.0,2.0,1.62,0.0,0.0,0.0,0.0,0.38,0.0,0.4,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Atacante,América-MG,15.44,20.7,13.96,15.44,2.44,5.0,2.0,2.44,3.78,4.0,4.6,3.78,3.0,3.0,3.0,3.0,3.78,6.0,3.8,3.78,0.78,0.0,0.8,0.78,1.44,3.0,1.0,1.44,0.56,0.0,0.4,0.56,0.67,1.0,0.8,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,1.0,1.6,1.56,0.0,0.0,0.0,0.0,0.33,0.0,0.2,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,1.0,0.2,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
